timestamp_unix,phase,cpu_total_mcores,cpu_p2p_mean_mcores,cpu_p2p_max_mcores,mem_total_mib,mem_p2p_mean_mib,mem_p2p_max_mib,net_rx_bytes_cum,net_tx_bytes_cum
1787950290,enhanced,549,34,90,302,18,22,7720212218,28576220
1787950299,enhanced,549,34,90,302,18,22,0,0
1787950304,enhanced,549,34,90,302,18,22,0,0
1787950309,enhanced,1534,95,311,370,23,31,0,0
1787950315,enhanced,1534,95,311,370,23,31,0,0
1787950320,enhanced,5037,314,600,533,33,41,8469815163,711276140
1787950328,enhanced,5037,314,600,533,33,41,0,0
1787950333,enhanced,5037,314,600,533,33,41,0,0
1787950339,enhanced,6069,379,600,667,41,55,0,0
1787950344,enhanced,6069,379,600,667,41,55,0,0
1787950349,enhanced,6069,379,600,667,41,55,0,0
1787950354,enhanced,6119,382,602,744,46,63,0,0
1787950359,enhanced,6119,382,602,744,46,63,0,0
1787950365,enhanced,6876,429,601,1225,76,171,0,0
1787950370,enhanced,6876,429,601,1225,76,171,10245269080,2375434902
1787950378,enhanced,6876,429,601,1225,76,171,0,0
1787950383,enhanced,7785,486,601,2387,149,414,0,0
1787950388,enhanced,7785,486,601,2387,149,414,0,0
1787950393,enhanced,7785,486,601,2387,149,414,0,0
1787950399,enhanced,6187,386,600,2654,165,469,0,0
1787950404,enhanced,6187,386,600,2654,165,469,0,0
1787950409,enhanced,6187,386,600,2654,165,469,0,0
1787950414,enhanced,5033,314,601,2668,166,469,0,0
1787950419,enhanced,5033,314,601,2668,166,469,0,0
1787950425,enhanced,4503,281,601,2608,163,469,0,0
1787950430,enhanced,4503,281,601,2608,163,469,10845049320,2900922146
1787950438,enhanced,4503,281,601,2608,163,469,0,0
1787950443,enhanced,2969,185,600,2631,164,469,0,0
1787950448,enhanced,2969,185,600,2631,164,469,0,0
1787950454,enhanced,2969,185,600,2631,164,469,0,0
1787950459,enhanced,2607,162,600,2654,165,469,0,0
1787950464,enhanced,2607,162,600,2654,165,469,0,0
1787950469,enhanced,2524,157,600,2670,166,469,0,0
1787950475,enhanced,2524,157,600,2670,166,469,0,0
1787950480,enhanced,2524,157,600,2670,166,469,11301344672,3278045836
1787950513,enhanced,2523,180,601,1864,133,469,0,0
1787950518,enhanced,3810,238,600,1391,86,318,0,0
1787950524,enhanced,3810,238,600,1391,86,318,0,0
1787950529,enhanced,3810,238,600,1391,86,318,0,0
1787950534,enhanced,3855,240,600,1284,80,284,0,0
1787950539,enhanced,3855,240,600,1284,80,284,0,0
1787950544,enhanced,3701,231,600,1284,80,286,0,0
1787950550,enhanced,3701,231,600,1284,80,286,11776953610,3618435170
1787950557,enhanced,3701,231,600,1284,80,286,0,0
1787950563,enhanced,3601,225,603,1017,63,129,0,0
1787950568,enhanced,3601,225,603,1017,63,129,0,0
1787950573,enhanced,3601,225,603,1017,63,129,0,0
1787950578,enhanced,3548,221,600,1060,66,126,0,0
1787950583,enhanced,3548,221,600,1060,66,126,0,0
1787950589,enhanced,3548,221,600,1060,66,126,0,0
1787950594,enhanced,3590,224,601,1056,66,133,0,0
1787950599,enhanced,3590,224,601,1056,66,133,0,0
1787950604,enhanced,3590,224,601,1056,66,133,0,0
1787950609,enhanced,3499,218,601,1085,67,148,0,0
1787950615,enhanced,3499,218,601,1085,67,148,0,0
1787950620,enhanced,3095,193,601,1086,67,139,12489037248,4089811859
1787950628,enhanced,3095,193,601,1086,67,139,0,0
1787950633,enhanced,3095,193,601,1086,67,139,0,0
1787950638,enhanced,2341,146,492,1090,68,145,0,0
1787950643,enhanced,2341,146,492,1090,68,145,0,0
1787950649,enhanced,2341,146,492,1090,68,145,0,0
1787950654,enhanced,749,46,193,1058,66,145,0,0
1787950659,enhanced,749,46,193,1058,66,145,0,0
1787950664,enhanced,749,46,193,1058,66,145,0,0
1787950669,enhanced,835,52,205,974,60,119,0,0
1787950674,enhanced,835,52,205,974,60,119,0,0
# monitor exited at 1787950736
