timestamp_unix,phase,cpu_total_mcores,cpu_p2p_mean_mcores,cpu_p2p_max_mcores,mem_total_mib,mem_p2p_mean_mib,mem_p2p_max_mib,net_rx_bytes_cum,net_tx_bytes_cum
1787950274,enhanced,935,58,90,311,19,22,0,0
1787950279,enhanced,935,58,90,311,19,22,0,0
1787950285,enhanced,935,58,90,311,19,22,0,0
1787950290,enhanced,490,30,147,322,20,29,8044341763,323735344
1787950299,enhanced,490,30,147,322,20,29,0,0
1787950304,enhanced,3758,234,599,483,30,40,0,0
1787950310,enhanced,3758,234,599,483,30,40,8655297669,878067796
1787950319,enhanced,5899,368,601,627,39,54,0,0
1787950324,enhanced,5899,368,601,627,39,54,0,0
1787950329,enhanced,5899,368,601,627,39,54,0,0
1787950335,enhanced,6092,380,601,759,47,64,0,0
1787950340,enhanced,6092,380,601,759,47,64,9630254364,1769038251
1787950349,enhanced,6105,381,601,845,52,70,0,0
1787950354,enhanced,6105,381,601,845,52,70,0,0
1787950359,enhanced,6105,381,601,845,52,70,0,0
1787950364,enhanced,6076,379,601,924,57,82,0,0
1787950370,enhanced,6076,379,601,924,57,82,10558426333,2614623009
1787950378,enhanced,6078,379,601,970,60,83,0,0
1787950383,enhanced,6078,379,601,970,60,83,0,0
1787950388,enhanced,6078,379,601,970,60,83,0,0
1787950394,enhanced,6084,380,602,1015,63,86,0,0
1787950399,enhanced,6084,380,602,1015,63,86,0,0
1787950404,enhanced,6084,380,602,1015,63,86,0,0
1787950409,enhanced,6085,380,601,1096,68,101,0,0
1787950415,enhanced,6085,380,601,1096,68,101,0,0
1787950420,enhanced,6085,380,601,1096,68,101,12023607153,3944641050
1787950428,enhanced,6037,377,602,1103,68,103,0,0
1787950433,enhanced,6037,377,602,1103,68,103,0,0
1787950438,enhanced,6032,377,601,1158,72,110,0,0
1787950444,enhanced,6032,377,601,1158,72,110,0,0
1787950449,enhanced,6032,377,601,1158,72,110,0,0
1787950454,enhanced,7014,438,601,1852,115,326,0,0
1787950459,enhanced,7014,438,601,1852,115,326,0,0
1787950464,enhanced,7014,438,601,1852,115,326,0,0
1787950470,enhanced,7483,467,601,3004,187,447,13035395055,4916833043
1787950478,enhanced,7483,467,601,3004,187,447,0,0
1787950483,enhanced,3805,237,600,3059,191,454,0,0
1787950488,enhanced,3805,237,600,3059,191,454,0,0
1787950494,enhanced,3805,237,600,3059,191,454,0,0
1787950499,enhanced,687,42,197,3053,190,454,0,0
1787950504,enhanced,687,42,197,3053,190,454,0,0
1787950510,enhanced,383,23,179,3056,191,454,0,0
1787950614,enhanced,2,2,2,28,28,28,0,0
1787950619,enhanced,46,23,45,48,24,28,0,0
1787950625,enhanced,46,23,45,48,24,28,0,0
1787950630,enhanced,46,23,45,48,24,28,13259864396,5131918218
# monitor exited at 1787950694
