timestamp_unix,phase,cpu_total_mcores,cpu_p2p_mean_mcores,cpu_p2p_max_mcores,mem_total_mib,mem_p2p_mean_mib,mem_p2p_max_mib,net_rx_bytes_cum,net_tx_bytes_cum
1787950278,enhanced,680,42,61,303,18,20,0,0
1787950283,enhanced,680,42,61,303,18,20,0,0
1787950289,enhanced,680,42,61,303,18,20,0,0
1787950294,enhanced,1065,66,195,354,22,30,0,0
1787950299,enhanced,1065,66,195,354,22,30,0,0
1787950304,enhanced,4231,264,601,452,28,37,0,0
1787950310,enhanced,4231,264,601,452,28,37,8119061038,217398409
1787950319,enhanced,4231,264,601,452,28,37,0,0
1787950324,enhanced,4877,304,600,507,31,45,0,0
1787950330,enhanced,4877,304,600,507,31,45,8400049537,359333588
1787950337,enhanced,4689,293,601,573,35,51,0,0
1787950343,enhanced,4689,293,601,573,35,51,0,0
1787950348,enhanced,4689,293,601,573,35,51,0,0
1787950353,enhanced,4476,279,600,592,37,54,0,0
1787950358,enhanced,4476,279,600,592,37,54,0,0
1787950363,enhanced,4476,279,600,592,37,54,0,0
1787950369,enhanced,4111,256,601,647,40,61,0,0
1787950374,enhanced,4111,256,601,647,40,61,0,0
1787950379,enhanced,4111,256,601,647,40,61,0,0
1787950384,enhanced,3834,239,600,658,41,69,0,0
1787950389,enhanced,3834,239,600,658,41,69,0,0
1787950395,enhanced,3483,217,601,682,42,69,0,0
1787950400,enhanced,3483,217,601,682,42,69,9420214723,855438099
1787950408,enhanced,3483,217,601,682,42,69,0,0
1787950413,enhanced,3347,209,600,712,44,76,0,0
1787950418,enhanced,3347,209,600,712,44,76,0,0
1787950423,enhanced,3347,209,600,712,44,76,0,0
1787950429,enhanced,3181,198,600,729,45,80,0,0
1787950434,enhanced,3181,198,600,729,45,80,0,0
1787950439,enhanced,3181,198,600,729,45,80,0,0
1787950444,enhanced,3175,198,601,755,47,90,0,0
1787950450,enhanced,3175,198,601,755,47,90,10114258972,1193177039
1787950457,enhanced,3158,197,600,780,48,90,0,0
1787950462,enhanced,3158,197,600,780,48,90,0,0
1787950468,enhanced,3158,197,600,780,48,90,0,0
1787950473,enhanced,3086,192,600,797,49,105,0,0
1787950478,enhanced,3086,192,600,797,49,105,0,0
1787950483,enhanced,3086,192,600,797,49,105,0,0
1787950489,enhanced,3041,190,599,821,51,105,0,0
1787950494,enhanced,3041,190,599,821,51,105,0,0
1787950499,enhanced,3041,190,599,821,51,105,0,0
1787950504,enhanced,3098,193,600,841,52,106,0,0
1787950509,enhanced,3098,193,600,841,52,106,0,0
1787950515,enhanced,3016,188,601,874,54,118,0,0
1787950520,enhanced,3016,188,601,874,54,118,11118348535,1690857165
1787950528,enhanced,3016,188,601,874,54,118,0,0
1787950533,enhanced,3039,189,600,890,55,120,0,0
1787950538,enhanced,3039,189,600,890,55,120,0,0
1787950543,enhanced,3039,189,600,890,55,120,0,0
1787950549,enhanced,2963,185,601,892,55,126,0,0
1787950554,enhanced,2963,185,601,892,55,126,0,0
1787950559,enhanced,2963,185,601,892,55,126,0,0
1787950564,enhanced,2890,180,600,896,56,122,0,0
1787950569,enhanced,2890,180,600,896,56,122,0,0
1787950575,enhanced,2738,171,600,869,54,118,0,0
1787950580,enhanced,2738,171,600,869,54,118,11563100045,1967015839
1787950587,enhanced,2738,171,600,869,54,118,0,0
1787950593,enhanced,2603,162,599,853,53,121,0,0
1787950598,enhanced,2603,162,599,853,53,121,0,0
1787950603,enhanced,2603,162,599,853,53,121,0,0
1787950608,enhanced,641,40,224,760,47,119,0,0
1787950614,enhanced,641,40,224,760,47,119,0,0
1787950619,enhanced,641,40,224,760,47,119,0,0
1787950624,enhanced,367,22,224,773,48,119,0,0
1787950629,enhanced,367,22,224,773,48,119,0,0
# monitor exited at 1787950660
