timestamp_unix,phase,cpu_total_mcores,cpu_p2p_mean_mcores,cpu_p2p_max_mcores,mem_total_mib,mem_p2p_mean_mib,mem_p2p_max_mib,net_rx_bytes_cum,net_tx_bytes_cum
1787926622,rapidchain,483,24,74,450,22,27,0,0
1787926628,rapidchain,483,24,74,450,22,27,0,0
1787926633,rapidchain,483,24,74,450,22,27,0,0
1787926638,rapidchain,549,17,77,704,22,27,0,0
1787926643,rapidchain,549,17,77,704,22,27,0,0
1787926648,rapidchain,549,17,77,704,22,27,0,0
1787926654,rapidchain,1520,47,187,791,24,40,0,0
1787926660,rapidchain,1520,47,187,791,24,40,66188908457,34076295549
1787926672,rapidchain,14517,453,835,2127,66,279,0,0
1787926678,rapidchain,14517,453,835,2127,66,279,0,0
1787926684,rapidchain,14949,467,850,4194,131,582,0,0
1787926689,rapidchain,14949,467,850,4194,131,582,0,0
1787926695,rapidchain,14949,467,850,4194,131,582,0,0
1787926700,rapidchain,12303,396,850,2776,89,304,71895219076,39796177980
1787926717,rapidchain,15325,478,849,2598,81,233,0,0
1787926723,rapidchain,15325,478,849,2598,81,233,0,0
1787926728,rapidchain,17340,541,851,2795,87,208,0,0
1787926734,rapidchain,17340,541,851,2795,87,208,0,0
1787926739,rapidchain,17340,541,851,2795,87,208,0,0
1787926745,rapidchain,16485,515,851,3255,101,226,0,0
1787926750,rapidchain,16485,515,851,3255,101,226,77014024111,44960413517
1787926761,rapidchain,14285,446,850,3369,105,223,0,0
1787926766,rapidchain,14285,446,850,3369,105,223,0,0
1787926771,rapidchain,14285,446,850,3369,105,223,0,0
1787926776,rapidchain,10681,333,851,3464,108,219,0,0
1787926782,rapidchain,10681,333,851,3464,108,219,0,0
1787926787,rapidchain,10615,331,851,4103,128,316,0,0
1787926792,rapidchain,10615,331,851,4103,128,316,0,0
1787926797,rapidchain,10615,331,851,4103,128,316,0,0
1787926803,rapidchain,10919,341,851,4753,148,388,0,0
1787926808,rapidchain,10919,341,851,4753,148,388,0,0
1787926813,rapidchain,10919,341,851,4753,148,388,0,0
1787926818,rapidchain,11861,370,851,5147,160,468,0,0
1787926824,rapidchain,11861,370,851,5147,160,468,0,0
1787926829,rapidchain,11861,370,851,5147,160,468,0,0
1787926834,rapidchain,12162,380,851,5771,180,546,0,0
1787926839,rapidchain,12162,380,851,5771,180,546,0,0
1787926845,rapidchain,12162,380,851,5771,180,546,0,0
1787926850,rapidchain,11057,345,851,6559,204,616,81046482834,48934375151
1787926860,rapidchain,11057,345,851,6559,204,616,81114116815,49007040442
1787926869,rapidchain,10335,322,851,7119,222,626,0,0
1787926874,rapidchain,10335,322,851,7119,222,626,0,0
1787926880,rapidchain,12597,393,851,7555,236,646,81366992432,49243304227
1787926889,rapidchain,12597,393,851,7555,236,646,0,0
1787926894,rapidchain,12935,404,851,8090,252,646,0,0
1787926900,rapidchain,12935,404,851,8090,252,646,81469896192,49343476782
1787926909,rapidchain,12610,394,853,8526,266,668,0,0
1787926914,rapidchain,12610,394,853,8526,266,668,0,0
1787926920,rapidchain,12610,394,853,8526,266,668,81567092733,49443244304
1787926929,rapidchain,12821,400,851,8937,279,668,0,0
1787926934,rapidchain,12821,400,851,8937,279,668,0,0
1787926940,rapidchain,12420,388,853,9626,300,668,81669133986,49543302022
1787926949,rapidchain,12420,388,853,9626,300,668,0,0
1787926954,rapidchain,12936,417,851,9708,313,668,0,0
1787926960,rapidchain,12936,417,851,9708,313,668,81818949619,49688710610
1787926969,rapidchain,12591,434,853,8624,297,668,0,0
1787926974,rapidchain,12591,434,853,8624,297,668,0,0
1787926980,rapidchain,12591,434,853,8624,297,668,81887165086,49759147060
1787926989,rapidchain,12634,394,851,9132,285,657,0,0
1787926994,rapidchain,12634,394,851,9132,285,657,0,0
1787926999,rapidchain,12741,411,851,9026,291,656,0,0
1787927005,rapidchain,12741,411,851,9026,291,656,0,0
1787927010,rapidchain,12741,411,851,9026,291,656,81959282322,49829379404
1787927019,rapidchain,11470,358,850,9465,295,675,0,0
1787927025,rapidchain,11470,358,850,9465,295,675,0,0
1787927030,rapidchain,8715,272,851,9705,303,697,81992522369,49864656502
1787927040,rapidchain,8715,272,851,9705,303,697,78907693170,47704967149
1787927049,rapidchain,6878,221,851,9214,297,703,0,0
1787927054,rapidchain,6878,221,851,9214,297,703,0,0
1787927060,rapidchain,5217,168,850,9462,305,703,82214600265,50060323881
1787927069,rapidchain,5217,168,850,9462,305,703,0,0
1787927074,rapidchain,3002,93,851,9477,296,703,0,0
1787927079,rapidchain,3002,93,851,9477,296,703,0,0
1787927085,rapidchain,3002,93,851,9477,296,703,0,0
1787927090,rapidchain,2633,82,851,9585,299,703,82240912303,50084901008
1787927099,rapidchain,2633,82,851,9585,299,703,0,0
1787927105,rapidchain,1156,36,851,9645,301,703,0,0
1787927110,rapidchain,1156,36,851,9645,301,703,82248346181,50092019389
1787927119,rapidchain,939,29,849,9626,300,703,0,0
1787927124,rapidchain,939,29,849,9626,300,703,0,0
1787927129,rapidchain,939,29,849,9626,300,703,0,0
1787927135,rapidchain,969,32,850,8674,289,703,0,0
1787927140,rapidchain,969,32,850,8674,289,703,49754529624,30753429117
# monitor exited at 1787927167
